"dt","category","orders","buyers","item_gmv","paid_gmv","aov","ontime_rate","bad_review_rate"
"2016-09-15","health_beauty",1,1,143.46,0.00000000,143.460000,0.0000,1.0000
"2016-10-03","fashion_shoes",1,1,40.95,40.95000000,40.950000,1.0000,0.0000
"2016-10-03","furniture_decor",2,2,225.73,225.73000000,112.865000,1.0000,1.0000
"2016-10-03","sports_leisure",2,2,92.82,92.82000000,46.410000,1.0000,0.0000
"2016-10-03","toys",1,1,154.57,154.57000000,154.570000,1.0000,0.0000
"2016-10-03","watches_gifts",1,1,45.46,45.46000000,45.460000,1.0000,0.0000
"2016-10-04","air_conditioning",3,3,826.69,826.69000000,275.563333,1.0000,0.3333
"2016-10-04","auto",1,1,18.62,18.62000000,18.620000,1.0000,0.0000
"2016-10-04","baby",2,2,326.14,326.14000000,163.070000,1.0000,0.0000
"2016-10-04","bed_bath_table",1,1,191.62,191.62000000,191.620000,1.0000,0.0000
"2016-10-04","computers_accessories",1,1,82.69,82.69000000,82.690000,0.0000,1.0000
"2016-10-04","consoles_games",3,3,2006.55,2006.55000000,668.850000,1.0000,0.0000
"2016-10-04","cool_stuff",2,2,228.42,228.42000000,114.210000,1.0000,0.0000
"2016-10-04","fixed_telephony",1,1,214.98,214.98000000,214.980000,1.0000,0.0000
"2016-10-04","furniture_decor",11,11,1376.10,1376.10000000,125.100000,1.0000,0.0000
"2016-10-04","garden_tools",1,1,196.27,196.27000000,196.270000,1.0000,0.0000
"2016-10-04","health_beauty",9,9,899.23,899.23000000,99.914444,0.8889,0.3333
"2016-10-04","housewares",3,3,353.76,353.76000000,117.920000,1.0000,0.6667
"2016-10-04","office_furniture",1,1,115.22,115.22000000,115.220000,1.0000,1.0000
"2016-10-04","perfumery",7,7,1286.84,1286.84000000,183.834286,1.0000,0.0000
"2016-10-04","sports_leisure",3,3,798.17,798.17000000,266.056667,1.0000,0.3333
"2016-10-04","telephony",1,1,40.79,40.79000000,40.790000,1.0000,0.0000
"2016-10-04","toys",4,4,793.83,793.83000000,198.457500,1.0000,0.2500
