"dt","orders","buyers","item_gmv","paid_gmv","aov","avg_delivery_days","ontime_rate","bad_review_rate"
"2016-09-15",1,1,143.46,0.00,143.460000,54.0000,0.0000,1.0000
"2016-10-03",7,7,559.53,559.53,79.932857,24.5714,1.0000,0.2857
"2016-10-04",54,54,9821.42,9821.42,181.878148,25.2222,0.9630,0.1852
"2016-10-05",35,35,7209.50,7209.50,205.985714,19.8000,1.0000,0.2286
"2016-10-06",41,41,6798.90,6733.52,165.826829,20.4878,1.0000,0.1707
"2016-10-07",38,38,6824.46,6832.76,179.591053,15.6842,1.0000,0.1842
"2016-10-08",36,35,8475.93,8475.93,235.442500,13.8889,1.0000,0.0556
"2016-10-09",20,20,2904.19,3037.32,145.209500,13.4000,1.0000,0.1500
"2016-10-10",34,33,3896.73,3896.73,114.609706,18.8235,0.9706,0.1176
"2016-12-23",1,1,19.62,19.62,19.620000,4.0000,1.0000,0.0000
"2017-01-05",32,18,707.27,707.27,22.102188,10.5938,1.0000,0.0000
"2017-01-06",4,4,988.28,988.28,247.070000,6.7500,1.0000,0.0000
"2017-01-07",4,4,1447.99,1447.99,361.997500,23.5000,0.7500,0.5000
"2017-01-08",4,4,507.85,507.85,126.962500,7.5000,1.0000,0.0000
"2017-01-09",5,5,774.51,774.51,154.902000,23.0000,0.6000,0.4000
"2017-01-10",6,6,1571.17,1571.17,261.861667,11.8333,1.0000,0.3333
"2017-01-11",10,10,2098.78,2098.78,209.878000,6.9000,1.0000,0.1000
"2017-01-12",12,12,1720.35,1720.35,143.362500,23.7500,0.8333,0.2500
"2017-01-13",10,10,2712.86,2712.86,271.286000,8.9000,1.0000,0.1000
"2017-01-14",16,15,1153.29,1161.08,72.080625,14.6250,0.9375,0.1250
"2017-01-15",14,13,2551.34,2551.34,182.238571,12.0714,1.0000,0.0714
"2017-01-16",18,17,3664.54,3668.38,203.585556,11.4444,1.0000,0.1111
"2017-01-17",32,31,3893.61,3893.61,121.675313,10.4375,1.0000,0.0625
"2017-01-18",30,30,3811.68,3811.68,127.056000,12.6667,0.9667,0.0667
"2017-01-19",29,28,4140.16,4140.16,142.764138,11.8966,0.9655,0.1379
"2017-01-20",28,28,4656.05,4656.05,166.287500,11.4643,1.0000,0.0357
"2017-01-21",22,20,2897.87,2897.86,131.721364,12.3182,1.0000,0.2273
"2017-01-22",30,30,4141.87,4141.87,138.062333,8.6667,1.0000,0.1000
"2017-01-23",36,36,7221.59,7221.59,200.599722,12.4167,0.9444,0.2778
"2017-01-24",38,38,5943.21,5954.18,156.400263,11.1579,1.0000,0.1053
"2017-01-25",57,57,8196.07,8196.05,143.790702,11.5088,0.9825,0.1579
"2017-01-26",82,79,14824.80,14824.80,180.790244,13.0732,0.9512,0.1098
"2017-01-27",59,58,12458.15,12458.14,211.155085,12.3559,1.0000,0.1356
"2017-01-28",28,28,5710.01,5736.98,203.928929,12.2143,1.0000,0.0714
"2017-01-29",32,31,6593.76,6593.76,206.055000,13.3125,0.9375,0.1250
"2017-01-30",48,46,11277.15,11290.93,234.940625,10.4792,1.0000,0.0625
"2017-01-31",64,62,11818.16,11818.15,184.658750,12.9844,0.9063,0.1094
"2017-02-01",61,60,8788.70,8788.70,144.077049,11.1967,0.9836,0.1475
"2017-02-02",67,67,10334.07,10342.54,154.239851,12.2090,0.9552,0.0746
"2017-02-03",54,54,10797.08,10797.07,199.945926,14.4074,0.9630,0.0926
"2017-02-04",64,64,15320.15,15320.15,239.377344,12.3125,0.9688,0.1406
"2017-02-05",74,73,10035.21,10035.21,135.610946,10.3108,0.9865,0.0811
"2017-02-06",78,76,10892.49,10893.73,139.647308,10.3077,0.9615,0.0769
"2017-02-07",108,104,16004.01,16020.23,148.185278,10.1574,0.9815,0.0741
"2017-02-08",83,83,13516.29,13517.96,162.846867,11.7229,0.9880,0.0723
"2017-02-09",73,72,10568.42,10568.42,144.772877,13.1644,0.9452,0.0822
"2017-02-10",63,63,14486.49,14492.58,229.944286,12.4127,0.9683,0.0952
"2017-02-11",45,45,5233.15,5233.15,116.292222,13.6889,0.9556,0.0889
"2017-02-12",61,61,16389.82,16389.82,268.685574,11.6885,0.9836,0.0492
"2017-02-13",74,74,12174.71,12174.71,164.523108,12.2432,0.9865,0.2162
"2017-02-14",66,65,12357.96,12363.65,187.241818,12.8636,0.9697,0.1364
"2017-02-15",56,56,7734.14,7734.14,138.109643,10.4107,1.0000,0.0714
"2017-02-16",49,49,6842.42,6842.42,139.641224,12.8776,0.9796,0.1020
"2017-02-17",45,45,8059.21,8059.20,179.093556,15.6000,0.9556,0.1556
"2017-02-18",52,50,8451.14,8456.59,162.521923,13.2308,0.9808,0.0577
"2017-02-19",37,37,4195.81,4195.81,113.400270,12.5135,1.0000,0.2703
"2017-02-20",59,59,8318.07,8318.07,140.984237,14.6271,0.9153,0.1186
"2017-02-21",39,39,8982.23,8982.23,230.313590,16.9231,0.9744,0.1538
"2017-02-22",53,51,7024.96,7024.96,132.546415,13.0189,0.9623,0.1698
"2017-02-23",57,55,7790.55,7792.79,136.676316,13.7193,0.9649,0.0702
"2017-02-24",60,60,7779.20,7779.20,129.653333,14.1167,0.9500,0.0333
"2017-02-25",39,39,4347.75,4347.75,111.480769,13.8974,1.0000,0.1795
"2017-02-26",42,42,6101.02,6101.02,145.262381,13.4524,0.9524,0.1667
"2017-02-27",41,41,6721.86,6727.34,163.947805,11.8780,0.9268,0.1220
"2017-02-28",53,53,11992.41,11999.21,226.271887,15.1698,0.9245,0.1509
"2017-03-01",93,92,14190.98,14190.98,152.591183,10.5376,0.9570,0.0860
"2017-03-02",66,66,12575.46,12575.46,190.537273,12.0152,0.9242,0.0909
"2017-03-03",72,69,13919.14,13919.14,193.321389,13.1250,0.9444,0.0972
"2017-03-04",69,66,10024.79,10024.79,145.286812,11.7826,0.9420,0.0725
"2017-03-05",67,66,8092.32,8092.32,120.780896,11.6269,0.9254,0.0896
"2017-03-06",94,94,10605.15,10605.15,112.820745,11.2340,0.9574,0.1383
"2017-03-07",78,77,13190.06,13190.06,169.103333,12.3205,0.9359,0.0769
"2017-03-08",73,73,14774.64,14778.27,202.392329,16.1918,0.9452,0.1233
"2017-03-09",88,86,13001.78,13001.78,147.747500,13.1818,0.9432,0.1477
"2017-03-10",84,81,14005.74,14005.74,166.735000,11.5476,0.9762,0.0952
"2017-03-11",68,68,12089.77,12108.32,177.790735,11.5882,0.9706,0.1176
"2017-03-12",63,61,7711.89,7711.89,122.410952,10.1905,0.9683,0.1270
"2017-03-13",104,102,18563.44,18563.44,178.494615,13.5481,0.9135,0.0962
"2017-03-14",95,95,16171.19,16171.19,170.223053,11.5053,0.9579,0.0947
"2017-03-15",101,100,16477.95,16477.95,163.148020,14.7921,0.9208,0.0495
"2017-03-16",100,100,16463.94,16467.91,164.639400,14.3100,0.9100,0.1400
"2017-03-17",64,64,13522.03,13522.03,211.281719,15.5313,0.9375,0.1250
"2017-03-18",71,71,17588.75,17593.33,247.728873,11.7324,0.9718,0.1268
"2017-03-19",56,56,7728.08,7728.08,138.001429,10.7500,0.9821,0.1071
"2017-03-20",113,111,19327.85,19327.85,171.042920,11.4071,0.9292,0.1239
"2017-03-21",92,90,13166.64,13166.64,143.115652,10.2609,0.9674,0.1196
"2017-03-22",104,103,16338.04,16338.04,157.096538,11.0288,0.9519,0.1250
"2017-03-23",105,104,18402.83,18402.83,175.265048,11.6286,0.9619,0.0762
"2017-03-24",75,73,11554.40,11554.39,154.058667,14.5333,0.9333,0.1467
"2017-03-25",72,69,10896.76,10896.76,151.343889,12.2917,0.9306,0.1250
"2017-03-26",63,63,7356.92,7356.91,116.776508,12.5238,0.8889,0.1270
"2017-03-27",107,106,18517.10,18517.10,173.057009,11.6168,0.9533,0.0935
"2017-03-28",96,95,13533.92,13533.91,140.978333,10.1354,0.9479,0.1042
"2017-03-29",72,71,9662.03,9662.03,134.194861,14.0139,0.9444,0.1111
"2017-03-30",72,72,11172.34,11172.34,155.171389,13.0694,0.9583,0.1528
"2017-03-31",69,69,13705.02,13712.76,198.623478,15.9855,0.9275,0.1594
"2017-04-01",66,63,18862.37,18862.37,285.793485,13.1667,0.9545,0.0606
"2017-04-02",64,63,10449.40,10452.22,163.271875,12.0781,0.9844,0.0625
"2017-04-03",68,68,10300.27,10300.27,151.474559,12.3529,0.9412,0.0735
"2017-04-04",96,96,14152.99,14152.99,147.426979,15.6979,0.9271,0.1146
"2017-04-05",93,90,20080.09,20080.09,215.914946,11.2043,0.9247,0.1075
"2017-04-06",92,91,20966.29,20966.29,227.894457,13.3696,0.9565,0.1522
"2017-04-07",82,80,14605.91,14605.91,178.120854,13.6707,0.9146,0.0976
"2017-04-08",64,63,9688.06,9688.06,151.375938,14.0469,0.9219,0.1719
"2017-04-09",68,65,9077.65,9077.65,133.494853,13.0147,0.9559,0.1176
"2017-04-10",84,84,13049.66,13049.66,155.353095,11.6190,0.9286,0.1548
"2017-04-11",73,73,8400.58,8420.13,115.076438,13.6164,0.9315,0.1507
"2017-04-12",61,61,8925.15,8925.15,146.313934,14.4426,0.8852,0.1967
"2017-04-13",60,59,11213.93,11216.11,186.898833,16.5167,0.9167,0.1167
"2017-04-14",47,47,7950.88,7950.88,169.167660,16.5319,0.8936,0.1064
"2017-04-15",49,49,9225.82,9225.82,188.282041,14.8980,0.8776,0.1837
"2017-04-16",47,47,6046.41,6063.82,128.647021,16.5745,0.8936,0.0638
"2017-04-17",58,58,8628.01,8628.01,148.758793,14.8621,0.8966,0.2069
"2017-04-18",71,71,23433.86,23433.86,330.054366,16.2113,0.9155,0.1268
"2017-04-19",93,92,13527.61,13527.61,145.458172,16.4301,0.8495,0.1613
"2017-04-20",91,86,14461.90,14461.90,158.921978,15.7253,0.8791,0.1648
"2017-04-21",66,66,10048.39,10101.02,152.248333,15.4394,0.9242,0.1667
"2017-04-22",82,82,14736.68,14760.97,179.715610,14.0244,0.9390,0.1220
"2017-04-23",84,83,11506.54,11506.54,136.982619,13.8929,0.8929,0.1071
"2017-04-24",110,110,15435.60,15435.59,140.323636,14.4000,0.8909,0.1545
"2017-04-25",106,106,16136.78,16145.47,152.233774,12.4811,0.9057,0.1038
"2017-04-26",122,122,18037.64,18037.64,147.849508,14.8607,0.9098,0.0984
"2017-04-27",75,75,11475.53,11475.53,153.007067,13.7467,1.0000,0.0933
"2017-04-28",95,95,17803.15,17803.15,187.401579,16.8737,0.9263,0.1474
"2017-04-29",70,70,13295.69,13307.91,189.938429,14.6000,0.9714,0.1000
"2017-04-30",66,66,9289.56,9289.56,140.750909,16.3030,0.9545,0.1364
"2017-05-01",111,109,13923.19,13923.19,125.434144,13.3784,0.9550,0.1261
"2017-05-02",122,122,19905.34,19905.71,163.158525,14.0164,0.9508,0.1311
"2017-05-03",101,101,12105.77,12124.87,119.859109,15.5545,0.9208,0.1287
"2017-05-04",107,105,15778.17,15778.17,147.459533,12.8411,0.9813,0.0841
"2017-05-05",104,103,15902.53,15920.31,152.908942,12.4135,0.9808,0.1154
"2017-05-06",103,100,16591.62,16618.04,161.083689,11.6311,0.9806,0.0777
"2017-05-07",102,100,18674.86,18674.86,183.086863,11.0882,0.9804,0.1275
"2017-05-08",120,120,18708.37,18708.37,155.903083,11.0833,0.9583,0.0667
"2017-05-09",120,119,23487.36,23492.40,195.728000,11.1417,0.9500,0.0750
"2017-05-10",109,107,22639.82,22648.56,207.704771,10.0275,0.9358,0.0550
"2017-05-11",124,123,21041.73,21063.52,169.691371,9.7016,0.9355,0.1210
"2017-05-12",105,103,13918.65,13918.65,132.558571,11.4286,0.9238,0.1333
"2017-05-13",67,66,9772.58,9781.86,145.859403,10.3731,0.9701,0.1343
"2017-05-14",108,108,16509.65,16520.56,152.867130,9.8796,0.9352,0.0926
"2017-05-15",149,146,21047.98,21065.32,141.261611,9.8389,0.9732,0.1544
"2017-05-16",149,146,24204.95,24213.16,162.449329,9.1611,0.9732,0.1141
"2017-05-17",139,138,21127.09,21127.09,151.993453,11.0360,0.9712,0.0863
"2017-05-18",124,122,20801.42,20806.70,167.753387,10.6452,0.9677,0.1371
"2017-05-19",140,135,20476.48,20483.89,146.260571,10.1429,0.9786,0.0786
"2017-05-20",70,70,12230.23,12239.93,174.717571,9.9143,0.9714,0.1000
"2017-05-21",145,141,20063.30,20063.30,138.367586,9.0138,0.9793,0.0759
"2017-05-22",145,142,27312.02,27312.02,188.358759,9.0690,0.9793,0.1172
"2017-05-23",120,120,19913.85,19919.26,165.948750,9.2667,0.9583,0.0917
"2017-05-24",140,137,26523.73,26552.81,189.455214,10.1143,0.9500,0.0571
"2017-05-25",103,102,17383.91,17383.91,168.775825,11.3333,0.9608,0.0874
"2017-05-26",77,76,12246.38,12246.38,159.043896,11.0519,0.9740,0.1299
"2017-05-27",77,76,15158.26,15158.26,196.860519,10.2727,0.9740,0.0390
"2017-05-28",98,98,11107.24,11120.71,113.339184,9.3061,0.9796,0.0408
"2017-05-29",151,150,20620.45,20620.45,136.559272,9.3576,0.9801,0.1258
"2017-05-30",98,98,15732.56,15732.56,160.536327,10.5918,0.9694,0.0714
"2017-05-31",118,118,21941.91,21941.91,185.948390,11.4492,0.9746,0.0847
"2017-06-01",123,121,21730.33,21749.38,176.669350,10.7317,0.9756,0.1707
"2017-06-02",123,121,21013.76,21013.76,170.843577,11.6016,0.9593,0.0894
"2017-06-03",88,88,12232.84,12232.84,139.009545,13.7614,0.9545,0.1250
"2017-06-04",99,98,15701.85,15701.85,158.604545,11.5354,0.9697,0.0707
"2017-06-05",142,140,25970.02,25970.01,182.887465,10.5563,0.9648,0.1197
"2017-06-06",128,124,16124.16,16125.71,125.970000,10.7500,0.9766,0.0859
"2017-06-07",122,121,15102.21,15102.21,123.788607,12.5328,0.9508,0.1066
"2017-06-08",134,131,21913.61,21919.44,163.534403,12.1269,0.9776,0.0970
"2017-06-09",105,103,18443.48,18447.99,175.652190,11.4667,0.9905,0.1238
"2017-06-10",72,71,9467.00,9467.00,131.486111,11.5278,1.0000,0.1250
"2017-06-11",111,108,16386.88,16397.40,147.629550,12.0360,0.9550,0.0991
"2017-06-12",121,121,16716.10,16726.27,138.149587,12.8017,0.9174,0.0992
"2017-06-13",121,121,16285.23,16307.27,134.588678,11.4711,0.9752,0.0909
"2017-06-14",128,124,23184.15,23217.67,181.126172,12.9063,0.9297,0.1328
"2017-06-15",103,99,14140.56,14140.56,137.286990,13.5825,0.9515,0.1359
"2017-06-16",94,93,14547.83,14547.83,154.764149,12.5213,0.9362,0.0957
"2017-06-17",72,71,12474.05,12474.05,173.250694,11.2361,0.9583,0.1250
"2017-06-18",87,85,17556.37,17556.37,201.797356,10.3793,0.9885,0.0575
"2017-06-19",152,148,25319.01,25319.01,166.572434,10.8487,0.9474,0.1184
"2017-06-20",90,90,13653.90,13653.90,151.710000,9.7778,0.9667,0.1444
"2017-06-21",34,34,7196.18,7199.70,211.652353,8.9706,0.9412,0.0588
"2017-06-22",83,82,10159.55,10159.55,122.404217,11.5181,0.9398,0.1325
"2017-06-23",103,102,15044.51,15044.51,146.063204,11.1845,1.0000,0.0485
"2017-06-24",74,73,9781.50,9781.50,132.182432,13.0270,0.9189,0.1081
"2017-06-25",99,96,19861.19,19861.19,200.618081,9.7576,0.9798,0.0808
