"dt","state","orders","buyers","item_gmv","paid_gmv","aov","avg_delivery_days","ontime_rate","bad_review_rate"
"2016-09-15",SP,1,1,143.46,0.00,143.460000,54.0000,0.0000,1.0000
"2016-10-03",GO,1,1,154.57,154.57,154.570000,30.0000,1.0000,0.0000
"2016-10-03",MG,1,1,92.27,92.27,92.270000,28.0000,1.0000,1.0000
"2016-10-03",RS,2,2,92.82,92.82,46.410000,27.0000,1.0000,0.0000
"2016-10-03",SP,3,3,219.87,219.87,73.290000,20.0000,1.0000,0.3333
"2016-10-04",BA,1,1,40.79,40.79,40.790000,8.0000,1.0000,0.0000
"2016-10-04",CE,1,1,277.81,277.81,277.810000,27.0000,1.0000,0.0000
"2016-10-04",ES,1,1,119.43,119.43,119.430000,24.0000,1.0000,0.0000
"2016-10-04",MG,9,9,1714.00,1714.00,190.444444,20.8889,1.0000,0.3333
"2016-10-04",MT,1,1,101.44,101.44,101.440000,7.0000,1.0000,0.0000
"2016-10-04",PA,2,2,358.46,358.46,179.230000,34.5000,1.0000,0.0000
"2016-10-04",PE,1,1,177.28,177.28,177.280000,13.0000,1.0000,0.0000
"2016-10-04",PR,3,3,558.76,558.76,186.253333,23.6667,1.0000,0.0000
"2016-10-04",RJ,9,9,2382.30,2382.30,264.700000,24.1111,1.0000,0.1111
"2016-10-04",RN,1,1,178.11,178.11,178.110000,44.0000,1.0000,0.0000
"2016-10-04",RS,2,2,1044.74,1044.74,522.370000,32.5000,1.0000,0.0000
"2016-10-04",SC,2,2,364.52,364.52,182.260000,20.5000,1.0000,0.5000
"2016-10-04",SP,21,21,2503.78,2503.78,119.227619,28.0000,0.9048,0.2381
"2016-10-05",CE,1,1,661.75,661.75,661.750000,18.0000,1.0000,0.0000
"2016-10-05",DF,1,1,123.20,123.20,123.200000,12.0000,1.0000,0.0000
"2016-10-05",GO,1,1,270.75,270.75,270.750000,8.0000,1.0000,0.0000
"2016-10-05",MA,1,1,625.20,625.20,625.200000,21.0000,1.0000,0.0000
"2016-10-05",MG,8,8,770.73,770.73,96.341250,26.8750,1.0000,0.1250
"2016-10-05",PA,1,1,663.93,663.93,663.930000,8.0000,1.0000,0.0000
"2016-10-05",PE,3,3,1187.47,1187.47,395.823333,20.3333,1.0000,0.3333
"2016-10-05",PR,3,3,175.11,175.11,58.370000,25.3333,1.0000,0.3333
"2016-10-05",RJ,3,3,438.41,438.41,146.136667,16.6667,1.0000,0.3333
"2016-10-05",RS,4,4,685.50,685.50,171.375000,15.0000,1.0000,0.0000
"2016-10-05",SC,1,1,676.92,676.92,676.920000,32.0000,1.0000,0.0000
"2016-10-05",SP,8,8,930.53,930.53,116.316250,16.5000,1.0000,0.5000
"2016-10-06",CE,1,1,594.46,594.46,594.460000,70.0000,1.0000,0.0000
"2016-10-06",DF,2,2,727.26,727.26,363.630000,30.5000,1.0000,0.0000
"2016-10-06",ES,1,1,89.16,89.16,89.160000,9.0000,1.0000,0.0000
"2016-10-06",GO,3,3,200.91,200.91,66.970000,14.3333,1.0000,0.0000
"2016-10-06",MG,2,2,234.55,234.55,117.275000,24.5000,1.0000,0.0000
"2016-10-06",PR,4,4,376.58,362.82,94.145000,10.5000,1.0000,0.2500
"2016-10-06",RJ,6,6,681.22,629.60,113.536667,23.1667,1.0000,0.3333
"2016-10-06",RN,1,1,467.20,467.20,467.200000,32.0000,1.0000,0.0000
"2016-10-06",RS,2,2,176.72,176.72,88.360000,22.5000,1.0000,0.5000
"2016-10-06",SC,2,2,212.07,212.07,106.035000,24.5000,1.0000,0.5000
"2016-10-06",SP,17,17,3038.77,3038.77,178.751176,17.7059,1.0000,0.1176
"2016-10-07",AL,1,1,76.60,76.60,76.600000,33.0000,1.0000,0.0000
"2016-10-07",MG,4,4,414.67,422.97,103.667500,14.2500,1.0000,0.2500
"2016-10-07",PR,3,3,406.65,406.65,135.550000,10.6667,1.0000,0.0000
"2016-10-07",RJ,8,8,2440.31,2440.31,305.038750,13.0000,1.0000,0.3750
"2016-10-07",RN,1,1,41.18,41.18,41.180000,25.0000,1.0000,0.0000
"2016-10-07",RS,2,2,568.18,568.18,284.090000,17.0000,1.0000,0.0000
"2016-10-07",SE,1,1,176.85,176.85,176.850000,20.0000,1.0000,0.0000
"2016-10-07",SP,18,18,2700.02,2700.02,150.001111,16.1667,1.0000,0.1667
"2016-10-08",BA,1,1,204.38,204.38,204.380000,22.0000,1.0000,0.0000
"2016-10-08",CE,2,2,234.47,234.47,117.235000,12.5000,1.0000,0.0000
"2016-10-08",DF,2,2,194.45,194.45,97.225000,8.5000,1.0000,1.0000
"2016-10-08",ES,1,1,783.22,783.22,783.220000,41.0000,1.0000,0.0000
"2016-10-08",GO,2,2,429.89,429.89,214.945000,7.0000,1.0000,0.0000
"2016-10-08",MA,1,1,44.74,44.74,44.740000,20.0000,1.0000,0.0000
"2016-10-08",MG,2,2,391.56,391.56,195.780000,7.0000,1.0000,0.0000
"2016-10-08",PA,1,1,260.70,260.70,260.700000,32.0000,1.0000,0.0000
"2016-10-08",PE,2,2,179.20,179.20,89.600000,16.0000,1.0000,0.0000
"2016-10-08",PI,1,1,246.09,246.09,246.090000,27.0000,1.0000,0.0000
"2016-10-08",PR,1,1,64.48,64.48,64.480000,18.0000,1.0000,0.0000
"2016-10-08",RJ,6,6,2630.25,2630.25,438.375000,14.8333,1.0000,0.0000
"2016-10-08",SC,1,1,319.09,319.09,319.090000,7.0000,1.0000,0.0000
"2016-10-08",SP,13,12,2493.41,2493.41,191.800769,10.9231,1.0000,0.0000
"2016-10-09",CE,1,1,116.89,116.89,116.890000,21.0000,1.0000,0.0000
"2016-10-09",MG,5,5,806.47,820.59,161.294000,14.8000,1.0000,0.4000
"2016-10-09",PR,3,3,693.10,812.11,231.033333,14.3333,1.0000,0.3333
"2016-10-09",RJ,3,3,247.09,247.09,82.363333,16.0000,1.0000,0.0000
"2016-10-09",RS,2,2,106.65,106.65,53.325000,8.5000,1.0000,0.0000
"2016-10-09",SC,2,2,143.32,143.32,71.660000,12.0000,1.0000,0.0000
"2016-10-09",SP,4,4,790.67,790.67,197.667500,10.2500,1.0000,0.0000
"2016-10-10",BA,1,1,75.84,75.84,75.840000,31.0000,1.0000,0.0000
"2016-10-10",DF,1,1,155.20,155.20,155.200000,45.0000,1.0000,0.0000
"2016-10-10",MA,2,2,328.91,328.91,164.455000,35.5000,0.5000,0.0000
"2016-10-10",MG,4,3,513.15,513.15,128.287500,12.5000,1.0000,0.0000
"2016-10-10",PB,1,1,74.74,74.74,74.740000,37.0000,1.0000,0.0000
"2016-10-10",PR,2,2,200.42,200.42,100.210000,17.5000,1.0000,0.0000
"2016-10-10",RJ,5,5,224.35,224.35,44.870000,20.0000,1.0000,0.0000
"2016-10-10",RN,1,1,194.85,194.85,194.850000,7.0000,1.0000,0.0000
"2016-10-10",RR,1,1,69.02,69.02,69.020000,8.0000,1.0000,0.0000
"2016-10-10",RS,3,3,223.50,223.50,74.500000,12.6667,1.0000,0.3333
"2016-10-10",SC,1,1,784.80,784.80,784.800000,7.0000,1.0000,0.0000
"2016-10-10",SE,2,2,169.07,169.07,84.535000,35.0000,1.0000,0.0000
