"hour_of_day","time_range","active_users","order_count","total_gmv"
0,"00:00 - 00:59",2290,2321,360018.23
1,"01:00 - 01:59",1121,1133,171604.47
2,"02:00 - 02:59",488,496,64572.21
3,"03:00 - 03:59",256,259,37551.29
4,"04:00 - 04:59",199,203,28209.97
5,"05:00 - 05:59",179,182,25620.74
6,"06:00 - 06:59",473,478,63569.25
7,"07:00 - 07:59",1189,1199,173948.18
8,"08:00 - 08:59",2863,2907,452537.94
9,"09:00 - 09:59",4588,4647,775133.99
10,"10:00 - 10:59",5903,5978,951042.29
11,"11:00 - 11:59",6328,6385,996529.71
12,"12:00 - 12:59",5745,5803,950162.65
13,"13:00 - 13:59",6228,6309,989086.30
14,"14:00 - 14:59",6311,6383,1075200.03
15,"15:00 - 15:59",6176,6249,1026466.49
16,"16:00 - 16:59",6425,6476,1059479.71
17,"17:00 - 17:59",5896,5963,949516.54
18,"18:00 - 18:59",5529,5585,927806.90
19,"19:00 - 19:59",5743,5801,931845.52
20,"20:00 - 20:59",5938,6007,968162.96
21,"21:00 - 21:59",5989,6040,946069.46
22,"22:00 - 22:59",5586,5659,896663.21
23,"23:00 - 23:59",3961,4015,601663.73
