"category","orders","bad_review_rate","ontime_rate","avg_delay_days"
"office_furniture",1241,0.2143,0.9073,1.0749
"",1392,0.1724,0.9088,0.7543
"bed_bath_table",9246,0.1560,0.9123,0.8160
"furniture_decor",6194,0.1466,0.9143,0.8024
"computers_accessories",6522,0.1437,0.9229,0.6617
"baby",2806,0.1415,0.9081,0.9227
"telephony",4069,0.1386,0.9145,0.6609
"watches_gifts",5455,0.1333,0.9142,0.7279
"electronics",2509,0.1303,0.9016,0.7142
"auto",3809,0.1286,0.9139,0.9015
"construction_tools_construction",731,0.1272,0.9083,0.8837
"garden_tools",3405,0.1175,0.9195,0.7004
"perfumery",3066,0.1155,0.9256,0.7299
"health_beauty",8617,0.1133,0.9102,0.7414
"housewares",5650,0.1131,0.9294,0.5770
"musical_instruments",605,0.1124,0.9107,0.9421
"small_appliances",605,0.1124,0.9372,0.4397
"sports_leisure",7468,0.1099,0.9221,0.7130
"toys",3754,0.1095,0.9243,0.7114
"consoles_games",1016,0.1093,0.9183,0.6890
