"state","orders","bad_review_rate","ontime_rate","avg_delivery_days"
SP,40501,0.1057,0.9411,8.2981
RJ,12350,0.1806,0.8653,14.8486
MG,11354,0.1163,0.9439,11.5422
RS,5345,0.1184,0.9285,14.8192
PR,4923,0.1079,0.9500,11.5267
SC,3546,0.1286,0.9024,14.4752
BA,3256,0.1683,0.8596,18.8664
DF,2080,0.1298,0.9293,12.5091
ES,1995,0.1358,0.8777,15.3318
GO,1957,0.1303,0.9182,15.1507
PE,1593,0.1469,0.8920,17.9655
CE,1279,0.1704,0.8468,20.8178
PA,946,0.1765,0.8763,23.3161
MT,886,0.1264,0.9323,17.5937
MA,717,0.1980,0.8033,21.1172
